state,dat_league_name,dat_league_sport,dat_league_id,dat_team_id,dat_team_sport,team_gender,dat_team_name_raw,level_guess,dat_league_url,source,observed_on,verification
WI,Wisconsin,track,115,24610,track,women,Catholic Memorial,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24891,track,men,Cedar Grove-Belgium,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24892,track,women,Cedar Grove-Belgium,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24342,track,men,Cedarburg,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24343,track,women,Cedarburg,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24909,track,men,Central Wisconsin Christian,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24910,track,women,Central Wisconsin Christian,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24443,track,men,Chequamegon,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24444,track,women,Chequamegon,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24421,track,men,Chetek-Weyerhaeuser,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24422,track,women,Chetek-Weyerhaeuser,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24505,track,men,Chilton,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24506,track,women,Chilton,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,6771,track,men,Chippewa Falls,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,6772,track,women,Chippewa Falls,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,94032,track,men,Chippewa Valley Lightning,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,94033,track,women,Chippewa Valley Lightning,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24706,track,men,Clear Lake,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24707,track,women,Clear Lake,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24525,track,men,Clinton,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24526,track,women,Clinton,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,16999,track,men,Clintonville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,17000,track,women,Clintonville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24785,track,men,Cochrane-Fountain City,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24786,track,women,Cochrane-Fountain City,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10540,track,men,Colby,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10541,track,women,Colby,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24727,track,men,Coleman,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24728,track,women,Coleman,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24674,track,men,Colfax,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24675,track,women,Colfax,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24577,track,men,Columbus,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24578,track,women,Columbus,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,58091,track,men,Columbus Catholic,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
